sales_document,document_type,sales_document_item,order_date,company_code,sales_organization,distribution_channel,sold_to_customer,material_id,order_priority,payment_terms,incoterms,order_quantity,net_unit_price,discount_pct
34,OR,10,2024-12-24,2000,EU01,Partner,C009,MAT008,Critical,NET30,EXW,7,722.43,0.2
35,ZOR,10,2024-08-12,1000,EU01,Partner,C007,MAT007,Medium,COD,EXW,5,804.25,0.0
36,OR,10,2024-11-26,2000,DE01,Online,C007,MAT001,Low,COD,EXW,8,355.75,0.0
37,ZOR,10,2024-04-10,2000,EU01,Inside Sales,C005,MAT002,Critical,NET30,FCA,9,126.93,0.0
38,OR,10,2024-10-29,1000,DE01,Online,C010,MAT003,Medium,NET45,DAP,11,236.9,0.0
39,OR,10,2024-01-13,1000,EU01,Online,C010,MAT001,High,COD,DAP,12,385.05,0.1
40,OR,10,2023-04-15,1000,EU01,Inside Sales,C006,MAT002,High,NET30,DAP,8,221.28,0.0
41,OR,10,2023-06-06,2000,EU02,Inside Sales,C008,MAT007,High,PREPAID,EXW,2,527.31,0.05
42,ZOR,10,2024-09-16,1000,EU01,Partner,C003,MAT008,Medium,PREPAID,DAP,6,528.6,0.1
43,OR,10,2023-01-11,1000,EU02,Inside Sales,C008,MAT004,Critical,COD,DAP,1,199.24,0.0
44,ZOR,10,2023-11-10,2000,EU01,Partner,C006,MAT008,High,PREPAID,DAP,4,247.96,0.0
45,OR,10,2024-07-02,1000,EU02,Inside Sales,C005,MAT005,Low,NET45,DAP,4,671.96,0.0
46,OR,10,2023-05-10,1000,EU02,Partner,C003,MAT008,Low,NET30,FCA,5,863.49,0.05
47,OR,10,2023-09-16,1000,EU01,Inside Sales,C002,MAT001,Medium,NET45,FCA,5,185.34,0.0
48,ZOR,10,2024-09-12,2000,EU01,Partner,C010,MAT007,High,NET30,FCA,12,210.15,0.2
49,OR,10,2023-09-28,1000,DE01,Online,C003,MAT001,Critical,COD,FCA,10,864.4,0.0
50,OR,10,2023-10-17,1000,EU01,Retail,C007,MAT002,Medium,NET45,DAP,3,161.04,0.0
51,ZOR,10,2024-08-05,1000,EU01,Partner,C007,MAT005,Critical,COD,EXW,10,105.35,0.05
52,OR,10,2023-09-14,1000,EU02,Online,C005,MAT001,Medium,COD,FCA,11,815.53,0.0
53,OR,10,2024-10-12,2000,EU01,Inside Sales,C006,MAT006,Low,NET45,DAP,7,1259.33,0.0
54,OR,10,2023-02-07,2000,EU01,Partner,C002,MAT007,Low,COD,DAP,1,366.08,0.0
55,OR,10,2024-03-28,2000,EU02,Retail,C005,MAT008,Critical,NET30,EXW,11,1109.66,0.0
56,ZOR,10,2024-07-18,1000,DE01,Online,C008,MAT002,Medium,COD,FCA,5,933.16,0.0
57,OR,10,2023-09-07,2000,DE01,Retail,C002,MAT005,Critical,PREPAID,FCA,5,1483.27,0.0
58,OR,10,2024-08-16,2000,EU02,Inside Sales,C006,MAT006,Critical,COD,DAP,4,1766.07,0.0
59,ZOR,10,2024-02-25,2000,EU02,Inside Sales,C007,MAT003,Critical,NET30,EXW,9,1738.85,0.0
60,OR,10,2024-06-22,1000,EU01,Retail,C002,MAT008,High,PREPAID,FCA,12,736.56,0.0
61,ZOR,10,2024-01-25,1000,EU02,Online,C004,MAT005,Medium,NET30,DAP,2,1377.05,0.15
62,OR,10,2024-12-11,1000,EU01,Online,C005,MAT006,High,COD,EXW,4,972.51,0.1
63,ZOR,10,2023-06-29,1000,EU01,Retail,C004,MAT008,High,COD,DAP,11,51.59,0.2
64,OR,10,2024-07-13,2000,EU01,Partner,C007,MAT005,Critical,PREPAID,EXW,7,1541.14,0.0
65,ZOR,10,2024-01-03,1000,EU02,Inside Sales,C005,MAT001,Low,COD,DAP,4,1106.47,0.0
66,OR,10,2024-09-27,1000,EU02,Online,C005,MAT008,Low,PREPAID,FCA,3,194.09,0.0
67,OR,10,2023-06-29,2000,EU02,Partner,C003,MAT005,Critical,PREPAID,FCA,6,1454.47,0.05
68,ZOR,10,2024-11-23,1000,EU01,Online,C005,MAT002,Critical,PREPAID,FCA,12,1221.68,0.1
69,ZOR,10,2023-04-21,1000,EU02,Partner,C010,MAT004,Low,COD,FCA,5,1180.91,0.0
70,OR,10,2023-11-08,1000,DE01,Retail,C007,MAT008,High,COD,FCA,12,1317.45,0.05
71,ZOR,10,2024-09-22,1000,EU02,Partner,C004,MAT008,Critical,NET45,DAP,2,1766.34,0.0
72,ZOR,10,2023-03-04,1000,DE01,Inside Sales,C002,MAT004,Low,NET30,DAP,4,1780.27,0.2
73,OR,10,2024-07-21,1000,EU01,Retail,C010,MAT001,High,NET45,EXW,9,477.4,0.0
74,ZOR,10,2023-05-15,1000,EU02,Partner,C001,MAT003,High,NET30,EXW,12,778.0,0.0
75,OR,10,2024-04-04,2000,EU02,Retail,C010,MAT001,High,COD,FCA,1,142.36,0.05
76,ZOR,10,2023-04-21,1000,DE01,Partner,C010,MAT003,Low,NET45,DAP,10,1152.38,0.1
77,ZOR,10,2024-09-03,2000,DE01,Online,C009,MAT004,Critical,COD,EXW,7,633.21,0.05
78,ZOR,10,2023-04-08,2000,EU02,Partner,C006,MAT003,Critical,NET30,EXW,2,199.55,0.0
79,ZOR,10,2023-05-14,1000,EU01,Partner,C007,MAT001,High,PREPAID,DAP,2,1055.03,0.0
80,ZOR,10,2023-08-18,2000,DE01,Partner,C010,MAT004,Critical,NET30,FCA,11,1499.0,0.0
81,ZOR,10,2024-12-20,2000,DE01,Retail,C003,MAT007,Low,NET45,FCA,11,1750.25,0.0
82,ZOR,10,2024-01-21,2000,DE01,Partner,C005,MAT006,Low,NET30,EXW,3,1366.58,0.0
83,ZOR,10,2024-03-29,2000,EU01,Partner,C004,MAT002,High,COD,EXW,5,1232.05,0.1
84,OR,10,2023-11-12,2000,EU02,Online,C001,MAT004,High,NET45,EXW,5,545.87,0.0
85,OR,10,2024-03-16,2000,EU02,Retail,C009,MAT006,Low,COD,FCA,1,804.93,0.05
86,ZOR,10,2024-03-15,2000,DE01,Inside Sales,C001,MAT006,Medium,COD,FCA,6,190.55,0.2
87,OR,10,2024-08-26,2000,EU01,Partner,C004,MAT006,Medium,NET30,FCA,11,236.26,0.1
88,OR,10,2024-10-22,1000,DE01,Partner,C004,MAT003,Medium,NET30,EXW,11,907.12,0.2
89,ZOR,10,2024-11-28,1000,EU01,Online,C008,MAT008,High,PREPAID,FCA,1,656.18,0.0
90,ZOR,10,2023-02-08,2000,DE01,Online,C010,MAT007,Critical,NET30,DAP,10,1185.49,0.0
91,ZOR,10,2023-06-04,1000,EU01,Online,C009,MAT003,Low,NET45,FCA,8,1784.09,0.1
92,ZOR,10,2024-01-08,2000,EU01,Partner,C010,MAT001,High,NET30,DAP,2,1019.81,0.05
93,ZOR,10,2024-11-03,1000,EU02,Retail,C006,MAT005,Critical,NET45,FCA,12,1690.57,0.0
94,OR,10,2023-12-03,2000,EU02,Partner,C001,MAT006,High,NET45,EXW,6,1707.63,0.05
95,ZOR,10,2023-06-08,1000,EU02,Online,C006,MAT003,Critical,NET45,EXW,3,1502.32,0.2
96,ZOR,10,2024-03-24,2000,EU02,Retail,C008,MAT005,Critical,NET45,FCA,4,581.21,0.2
97,ZOR,10,2024-11-25,2000,EU01,Inside Sales,C003,MAT004,Medium,PREPAID,EXW,11,883.24,0.0
98,ZOR,10,2024-06-12,1000,DE01,Partner,C008,MAT003,Critical,NET30,EXW,8,1596.37,0.0
99,OR,10,2024-05-29,2000,DE01,Partner,C004,MAT001,High,NET30,FCA,11,626.79,0.0
100,ZOR,10,2024-04-28,2000,EU02,Online,C002,MAT001,High,NET45,EXW,9,1694.5,0.1
101,ZOR,10,2023-10-23,1000,DE01,Retail,C007,MAT008,Low,NET30,DAP,10,981.13,0.15
102,ZOR,10,2023-05-28,1000,EU02,Partner,C004,MAT007,Medium,NET30,FCA,6,154.45,0.1
103,ZOR,10,2024-07-21,2000,DE01,Inside Sales,C006,MAT005,Low,PREPAID,EXW,6,460.59,0.15
104,OR,10,2023-12-07,2000,EU02,Partner,C003,MAT008,Critical,NET45,EXW,2,1298.82,0.05
105,OR,10,2023-02-14,2000,EU01,Inside Sales,C009,MAT008,High,NET30,FCA,4,539.99,0.2
106,ZOR,10,2023-10-07,2000,EU01,Inside Sales,C007,MAT006,Medium,COD,FCA,8,683.37,0.2
107,ZOR,10,2024-03-10,1000,EU02,Partner,C006,MAT002,Low,PREPAID,FCA,5,575.97,0.1
108,ZOR,10,2024-12-07,2000,DE01,Partner,C010,MAT007,High,NET30,EXW,11,1160.21,0.0
109,OR,10,2023-06-13,2000,DE01,Retail,C002,MAT004,High,PREPAID,DAP,10,92.16,0.0
110,OR,10,2024-01-16,1000,EU02,Partner,C007,MAT006,High,NET45,EXW,1,1333.47,0.05
111,ZOR,10,2023-05-01,2000,DE01,Partner,C008,MAT004,Low,NET45,EXW,8,339.74,0.15
112,OR,10,2023-11-24,2000,EU01,Retail,C003,MAT006,Medium,NET30,EXW,3,452.84,0.05
113,ZOR,10,2024-08-09,1000,EU02,Online,C002,MAT005,Critical,COD,FCA,7,1392.58,0.2
114,ZOR,10,2023-11-21,2000,EU02,Partner,C003,MAT003,Medium,COD,FCA,1,1502.4,0.1
115,OR,10,2023-06-15,2000,EU02,Partner,C002,MAT005,Medium,PREPAID,EXW,11,569.49,0.1
116,OR,10,2023-06-22,2000,EU02,Online,C001,MAT002,Low,PREPAID,FCA,4,1388.68,0.05
117,ZOR,10,2024-05-24,2000,DE01,Inside Sales,C005,MAT008,Low,NET30,EXW,8,768.57,0.05
118,ZOR,10,2023-05-28,2000,EU01,Retail,C006,MAT002,High,NET45,DAP,2,507.09,0.0
119,ZOR,10,2023-10-25,1000,DE01,Partner,C010,MAT006,Medium,NET45,DAP,9,858.93,0.0
120,OR,10,2024-02-07,1000,EU02,Partner,C001,MAT001,High,COD,FCA,11,1222.0,0.0
121,ZOR,10,2024-03-17,2000,EU01,Partner,C001,MAT007,Low,NET45,DAP,9,544.38,0.05
122,OR,10,2023-10-14,1000,EU01,Partner,C006,MAT006,Medium,NET45,FCA,9,743.45,0.0
123,ZOR,10,2023-12-08,1000,EU02,Retail,C006,MAT006,Medium,COD,FCA,12,1522.19,0.1
124,ZOR,10,2024-06-29,2000,DE01,Partner,C006,MAT002,Critical,PREPAID,FCA,12,1145.64,0.1
125,OR,10,2024-08-15,2000,DE01,Inside Sales,C003,MAT004,Low,NET30,EXW,1,813.43,0.05
126,ZOR,10,2023-07-28,1000,EU02,Retail,C009,MAT004,High,COD,FCA,7,588.77,0.0
127,ZOR,10,2024-07-13,2000,DE01,Retail,C005,MAT005,Medium,PREPAID,DAP,12,400.85,0.15
128,ZOR,10,2023-12-24,1000,EU02,Inside Sales,C007,MAT006,Medium,PREPAID,EXW,5,1721.13,0.0
129,OR,10,2023-09-20,1000,EU02,Partner,C009,MAT005,Medium,NET30,FCA,12,1070.76,0.0
130,OR,10,2023-08-20,1000,EU01,Partner,C008,MAT002,Medium,NET30,FCA,3,753.19,0.05
131,ZOR,10,2023-10-22,1000,DE01,Retail,C009,MAT001,Medium,COD,EXW,1,1795.01,0.05
132,OR,10,2023-10-24,2000,EU02,Online,C006,MAT005,Critical,COD,EXW,9,861.06,0.0
133,OR,10,2024-04-14,1000,EU02,Partner,C005,MAT004,Medium,COD,DAP,9,613.79,0.05
134,ZOR,10,2023-05-24,1000,DE01,Partner,C007,MAT004,Critical,PREPAID,DAP,5,1063.04,0.1
135,OR,10,2024-01-04,1000,EU01,Partner,C003,MAT007,High,NET30,FCA,5,683.71,0.0
136,ZOR,10,2023-06-06,2000,EU02,Inside Sales,C009,MAT004,Medium,NET30,FCA,8,967.23,0.0
137,OR,10,2023-03-05,1000,EU01,Inside Sales,C002,MAT004,Critical,NET30,FCA,8,1462.34,0.05
138,ZOR,10,2024-04-12,2000,EU02,Online,C007,MAT005,Low,NET45,FCA,2,114.94,0.0
139,ZOR,10,2023-03-03,1000,EU01,Inside Sales,C003,MAT003,Critical,PREPAID,DAP,8,1569.88,0.05
140,ZOR,10,2024-11-08,1000,DE01,Inside Sales,C009,MAT003,Medium,NET30,EXW,5,852.2,0.15
141,OR,10,2024-01-24,2000,EU01,Retail,C005,MAT004,Low,NET30,FCA,7,1120.34,0.0
142,ZOR,10,2023-04-14,1000,DE01,Online,C007,MAT008,Medium,NET45,EXW,3,924.38,0.0
143,OR,10,2023-11-23,2000,DE01,Retail,C007,MAT005,High,NET30,FCA,10,1587.7,0.0
144,OR,10,2024-07-23,2000,EU02,Inside Sales,C009,MAT006,Critical,COD,EXW,5,699.45,0.2
145,OR,10,2023-08-19,2000,DE01,Inside Sales,C007,MAT003,Critical,NET45,DAP,4,617.91,0.0
146,OR,10,2024-07-02,2000,EU01,Online,C002,MAT004,Medium,COD,EXW,6,570.13,0.0
147,OR,10,2023-05-01,1000,EU01,Retail,C009,MAT006,High,COD,DAP,9,1179.99,0.0
148,OR,10,2024-05-24,2000,EU01,Retail,C006,MAT006,Critical,NET30,FCA,4,1343.31,0.0
149,ZOR,10,2024-08-16,1000,DE01,Partner,C004,MAT007,Medium,COD,FCA,11,1700.21,0.0
150,ZOR,10,2024-10-19,1000,EU02,Partner,C003,MAT003,Critical,NET45,FCA,11,1724.52,0.1
151,ZOR,10,2023-02-19,1000,EU02,Retail,C002,MAT003,Low,NET45,FCA,8,693.7,0.1
152,OR,10,2024-05-09,1000,EU02,Inside Sales,C001,MAT001,High,PREPAID,EXW,9,1470.22,0.15
153,OR,10,2023-04-09,1000,EU02,Partner,C006,MAT005,Critical,NET30,DAP,7,845.13,0.0
154,OR,10,2024-12-01,1000,EU01,Inside Sales,C007,MAT008,Low,NET30,FCA,3,180.94,0.2
155,OR,10,2024-08-02,1000,DE01,Inside Sales,C005,MAT001,Low,PREPAID,FCA,10,1196.56,0.0
156,ZOR,10,2024-08-24,1000,EU01,Retail,C010,MAT004,Critical,PREPAID,DAP,12,282.01,0.15
157,OR,10,2023-12-21,2000,DE01,Online,C006,MAT007,High,NET30,FCA,5,1417.96,0.05
158,ZOR,10,2024-07-20,1000,EU02,Inside Sales,C002,MAT005,Medium,NET30,EXW,5,307.2,0.15
159,ZOR,10,2024-02-03,1000,DE01,Online,C005,MAT008,High,PREPAID,EXW,3,189.08,0.05
160,OR,10,2024-06-08,1000,DE01,Partner,C009,MAT002,High,COD,EXW,5,765.37,0.2
161,ZOR,10,2023-09-06,1000,DE01,Partner,C005,MAT005,Critical,NET45,EXW,3,802.2,0.05
162,OR,10,2024-01-05,2000,EU02,Retail,C008,MAT002,Medium,PREPAID,EXW,7,621.36,0.1
163,OR,10,2023-12-09,2000,EU01,Retail,C008,MAT006,Medium,COD,DAP,5,1332.05,0.15
164,ZOR,10,2023-11-30,2000,EU01,Online,C010,MAT004,Medium,NET30,FCA,8,1699.35,0.0
165,ZOR,10,2023-03-12,1000,EU02,Partner,C004,MAT005,Medium,COD,DAP,2,827.6,0.1
166,OR,10,2024-07-01,2000,EU02,Online,C002,MAT004,High,NET45,FCA,10,113.18,0.15
167,OR,10,2023-12-06,1000,DE01,Partner,C004,MAT004,Critical,PREPAID,DAP,8,1398.18,0.1
168,ZOR,10,2023-12-20,1000,EU01,Inside Sales,C002,MAT002,Medium,PREPAID,DAP,6,838.66,0.0
169,ZOR,10,2024-05-02,2000,EU01,Online,C005,MAT001,Low,NET30,DAP,11,228.03,0.2
170,OR,10,2024-06-12,2000,EU02,Inside Sales,C008,MAT004,Critical,NET45,EXW,11,1195.15,0.05
171,ZOR,10,2023-07-22,2000,DE01,Retail,C004,MAT005,Low,NET30,FCA,3,680.62,0.0
172,ZOR,10,2024-11-17,2000,EU02,Inside Sales,C010,MAT002,High,PREPAID,DAP,10,339.51,0.15
173,OR,10,2024-08-27,2000,DE01,Retail,C005,MAT002,Medium,PREPAID,FCA,3,936.61,0.05
174,OR,10,2024-01-28,2000,EU02,Retail,C009,MAT003,Critical,PREPAID,EXW,3,590.23,0.05
175,OR,10,2023-01-10,1000,EU01,Inside Sales,C007,MAT008,Critical,COD,DAP,3,180.91,0.0
176,ZOR,10,2023-10-09,1000,EU01,Inside Sales,C009,MAT002,Low,PREPAID,FCA,6,991.71,0.2
177,ZOR,10,2024-07-13,1000,EU02,Retail,C005,MAT001,Critical,PREPAID,DAP,2,809.96,0.0
178,ZOR,10,2024-08-25,1000,EU02,Retail,C004,MAT004,Low,PREPAID,FCA,5,1088.45,0.0
179,OR,10,2023-10-24,1000,EU01,Online,C005,MAT003,Medium,NET45,EXW,12,603.5,0.0
180,ZOR,10,2023-05-26,2000,EU01,Online,C002,MAT007,High,PREPAID,DAP,8,612.67,0.0
181,OR,10,2024-04-14,2000,DE01,Inside Sales,C004,MAT008,High,PREPAID,DAP,6,1001.0,0.0
182,OR,10,2024-11-29,1000,EU02,Inside Sales,C001,MAT002,Medium,COD,DAP,1,1785.59,0.05
183,OR,10,2024-10-27,2000,DE01,Partner,C005,MAT002,High,NET45,EXW,7,1139.19,0.15
184,OR,10,2024-11-02,1000,DE01,Inside Sales,C002,MAT003,Medium,COD,EXW,1,1262.73,0.2
185,OR,10,2023-05-16,1000,EU01,Online,C002,MAT002,High,PREPAID,DAP,3,710.5,0.2
186,OR,10,2023-05-27,1000,EU01,Partner,C004,MAT003,Critical,COD,EXW,2,1617.49,0.0
187,ZOR,10,2024-01-29,2000,DE01,Retail,C005,MAT002,Medium,PREPAID,FCA,1,1531.53,0.15
188,ZOR,10,2024-09-13,2000,EU02,Online,C004,MAT008,Critical,NET30,EXW,8,1161.22,0.0
189,ZOR,10,2023-11-21,2000,EU01,Retail,C008,MAT002,Low,NET30,EXW,5,415.79,0.0
190,ZOR,10,2024-10-05,2000,DE01,Retail,C005,MAT002,High,NET30,FCA,4,1754.66,0.0
191,ZOR,10,2024-08-23,2000,EU02,Retail,C001,MAT004,Low,COD,EXW,8,1115.7,0.0
192,OR,10,2024-11-04,1000,EU02,Retail,C001,MAT003,Critical,PREPAID,FCA,9,1416.97,0.15
193,OR,10,2023-05-10,1000,EU01,Inside Sales,C005,MAT002,High,NET30,DAP,8,936.53,0.0
194,ZOR,10,2024-01-12,1000,EU02,Online,C004,MAT001,Low,NET30,EXW,1,867.66,0.05
195,OR,10,2024-07-20,2000,DE01,Inside Sales,C006,MAT005,Low,PREPAID,EXW,9,1223.42,0.0
196,OR,10,2023-02-17,2000,EU01,Partner,C006,MAT002,Critical,NET30,DAP,4,549.67,0.2
197,ZOR,10,2023-09-06,2000,DE01,Retail,C003,MAT001,Critical,NET30,EXW,9,646.44,0.2
198,ZOR,10,2023-01-02,1000,DE01,Retail,C007,MAT008,Low,NET45,FCA,5,199.19,0.0
199,OR,10,2024-01-17,1000,EU02,Retail,C007,MAT002,Low,COD,FCA,3,452.9,0.0
200,ZOR,10,2023-12-01,2000,DE01,Online,C004,MAT003,Low,NET45,EXW,3,828.49,0.0
201,ZOR,10,2024-01-02,2000,EU01,Partner,C002,MAT002,Medium,PREPAID,FCA,12,1099.83,0.0
202,ZOR,10,2024-12-29,2000,EU02,Online,C005,MAT005,Medium,NET30,DAP,8,1016.26,0.1
203,OR,10,2023-04-15,1000,DE01,Retail,C003,MAT004,Critical,PREPAID,FCA,11,1689.82,0.0
204,OR,10,2023-03-18,1000,EU02,Inside Sales,C003,MAT002,High,NET30,EXW,8,124.38,0.1
205,ZOR,10,2024-05-23,2000,DE01,Partner,C004,MAT003,High,PREPAID,DAP,3,96.16,0.1
206,ZOR,10,2023-10-30,2000,DE01,Online,C005,MAT007,Medium,COD,EXW,11,1596.41,0.1
207,ZOR,10,2023-01-20,2000,EU02,Inside Sales,C006,MAT006,Critical,PREPAID,EXW,1,597.82,0.0
208,OR,10,2024-04-28,1000,DE01,Retail,C004,MAT005,Low,NET45,FCA,7,661.23,0.2
209,ZOR,10,2024-08-29,1000,EU02,Partner,C010,MAT003,Medium,COD,FCA,5,344.86,0.0
210,OR,10,2024-09-08,2000,DE01,Partner,C010,MAT004,Medium,PREPAID,FCA,3,1656.65,0.2
211,OR,10,2023-06-01,2000,DE01,Partner,C007,MAT002,High,PREPAID,DAP,3,1757.39,0.15
212,OR,10,2024-10-26,2000,DE01,Retail,C007,MAT005,High,NET45,EXW,12,38.17,0.15
213,ZOR,10,2023-02-03,1000,EU02,Online,C008,MAT003,High,NET30,EXW,6,1768.9,0.0
214,ZOR,10,2024-11-17,1000,EU01,Retail,C004,MAT002,High,PREPAID,EXW,12,37.26,0.05
215,ZOR,10,2023-06-20,2000,EU01,Inside Sales,C002,MAT008,Medium,NET45,DAP,2,1445.58,0.0
216,OR,10,2023-09-25,2000,DE01,Inside Sales,C003,MAT002,Low,PREPAID,FCA,10,1611.54,0.15
217,OR,10,2023-06-18,1000,DE01,Partner,C004,MAT004,Critical,PREPAID,FCA,5,559.91,0.0
218,OR,10,2024-07-16,1000,EU01,Online,C007,MAT002,High,COD,EXW,2,80.42,0.0
219,ZOR,10,2024-04-29,2000,EU01,Inside Sales,C005,MAT002,Critical,NET45,DAP,7,686.99,0.05
220,OR,10,2024-04-21,2000,EU02,Online,C003,MAT002,Low,PREPAID,FCA,7,1748.3,0.1
221,ZOR,10,2024-02-01,1000,EU01,Partner,C002,MAT007,Low,NET45,EXW,8,340.13,0.0
222,OR,10,2023-02-13,2000,DE01,Retail,C010,MAT005,High,NET30,EXW,7,1016.98,0.1
223,ZOR,10,2024-04-14,1000,EU01,Retail,C003,MAT002,Low,NET30,DAP,9,1588.44,0.05
224,OR,10,2024-05-12,1000,EU01,Inside Sales,C003,MAT007,Low,COD,DAP,12,454.33,0.15
225,ZOR,10,2023-01-21,2000,EU01,Inside Sales,C002,MAT004,Medium,PREPAID,FCA,8,1401.16,0.0
226,OR,10,2024-09-11,2000,DE01,Inside Sales,C008,MAT006,Low,NET45,EXW,5,1287.39,0.05
227,OR,10,2023-01-30,1000,DE01,Retail,C001,MAT008,Low,PREPAID,FCA,4,518.57,0.2
228,OR,10,2024-10-12,1000,EU01,Inside Sales,C010,MAT008,Medium,COD,FCA,9,652.33,0.0
229,OR,10,2023-04-03,2000,DE01,Retail,C010,MAT004,Medium,NET45,FCA,4,509.93,0.05
230,OR,10,2023-01-10,1000,EU02,Online,C004,MAT005,High,PREPAID,DAP,7,1538.05,0.05
231,OR,10,2023-11-06,1000,EU02,Partner,C009,MAT005,High,NET30,DAP,2,628.54,0.0
232,OR,10,2023-09-25,1000,EU02,Retail,C001,MAT007,High,NET45,FCA,1,1191.78,0.0
233,OR,10,2024-02-02,2000,EU02,Retail,C009,MAT008,High,PREPAID,EXW,11,1582.01,0.0
234,OR,10,2023-05-12,2000,EU02,Online,C004,MAT006,Medium,PREPAID,DAP,6,691.02,0.1
235,OR,10,2024-04-26,2000,DE01,Online,C007,MAT005,Critical,NET30,EXW,3,1786.49,0.0
236,OR,10,2023-05-27,1000,EU01,Partner,C003,MAT006,Low,NET30,DAP,5,404.56,0.2
237,OR,10,2024-05-16,2000,EU02,Inside Sales,C007,MAT007,Critical,COD,EXW,1,977.13,0.15
238,OR,10,2024-06-27,1000,EU02,Retail,C004,MAT006,High,NET45,EXW,7,923.39,0.0
239,ZOR,10,2023-11-02,2000,EU01,Retail,C006,MAT008,High,NET45,EXW,7,68.76,0.0
240,OR,10,2023-01-23,2000,EU02,Online,C007,MAT005,Low,NET30,FCA,2,1188.55,0.0
241,ZOR,10,2024-03-02,1000,EU02,Partner,C008,MAT003,Medium,NET30,DAP,7,1202.84,0.15
242,ZOR,10,2024-09-12,1000,EU02,Online,C005,MAT002,Low,COD,EXW,10,387.56,0.0
243,ZOR,10,2024-12-21,1000,DE01,Inside Sales,C004,MAT008,High,NET45,EXW,1,1220.43,0.0
244,OR,10,2023-06-02,1000,EU01,Retail,C008,MAT005,High,COD,EXW,2,1470.26,0.2
