sales_document,sales_document_item,requested_delivery_date,plant,storage_location,shipping_condition
86,10,2024-03-17,BER1,WH-A,Pickup
87,10,2024-08-30,BER1,WH-B,Express
88,10,2024-10-24,PAR1,WH-C,Express
89,10,2024-12-01,AMS1,WH-B,Express
90,10,2023-02-09,PAR1,WH-B,Express
91,10,2023-06-04,PAR1,WH-C,Pickup
92,10,2024-01-15,AMS1,WH-B,Standard
93,10,2024-11-03,PAR1,WH-B,Pickup
94,10,2023-12-03,BER1,WH-A,Pickup
95,10,2023-06-13,PAR1,WH-A,Standard
96,10,2024-03-24,AMS1,WH-A,Pickup
97,10,2024-11-29,PAR1,WH-A,Express
98,10,2024-06-12,AMS1,WH-A,Pickup
99,10,2024-06-01,BER1,WH-A,Express
100,10,2024-04-30,PAR1,WH-B,Express
101,10,2023-10-29,PAR1,WH-C,Standard
102,10,2023-06-04,PAR1,WH-C,Standard
103,10,2024-07-21,PAR1,WH-A,Pickup
104,10,2023-12-07,BER1,WH-B,Pickup
105,10,2023-02-20,BER1,WH-C,Standard
106,10,2023-10-08,PAR1,WH-B,Express
107,10,2024-03-15,PAR1,WH-B,Standard
108,10,2024-12-15,PAR1,WH-C,Standard
109,10,2023-06-13,PAR1,WH-B,Pickup
110,10,2024-01-20,PAR1,WH-B,Express
111,10,2023-05-02,AMS1,WH-A,Pickup
112,10,2023-11-25,BER1,WH-B,Pickup
113,10,2024-08-10,PAR1,WH-A,Pickup
114,10,2023-11-26,BER1,WH-B,Standard
115,10,2023-06-22,BER1,WH-C,Standard
116,10,2023-06-22,PAR1,WH-C,Pickup
117,10,2024-05-31,BER1,WH-B,Standard
118,10,2023-05-29,BER1,WH-A,Pickup
119,10,2023-11-02,AMS1,WH-A,Standard
120,10,2024-02-15,PAR1,WH-A,Standard
121,10,2024-03-23,PAR1,WH-B,Standard
122,10,2023-10-14,BER1,WH-A,Pickup
123,10,2023-12-16,AMS1,WH-C,Standard
124,10,2024-07-01,AMS1,WH-B,Pickup
125,10,2024-08-15,BER1,WH-B,Pickup
126,10,2023-07-30,AMS1,WH-C,Pickup
127,10,2024-07-16,AMS1,WH-B,Express
128,10,2023-12-27,AMS1,WH-B,Express
129,10,2023-09-22,BER1,WH-C,Pickup
130,10,2023-08-20,AMS1,WH-C,Pickup
131,10,2023-10-29,AMS1,WH-A,Standard
132,10,2023-10-24,BER1,WH-B,Pickup
133,10,2024-04-21,PAR1,WH-A,Standard
134,10,2023-06-01,BER1,WH-B,Standard
135,10,2024-01-04,BER1,WH-A,Pickup
136,10,2023-06-10,BER1,WH-C,Express
137,10,2023-03-11,BER1,WH-C,Standard
138,10,2024-04-13,PAR1,WH-A,Express
139,10,2023-03-03,AMS1,WH-A,Pickup
140,10,2024-11-08,PAR1,WH-B,Pickup
141,10,2024-01-24,BER1,WH-A,Pickup
142,10,2023-04-19,BER1,WH-C,Standard
143,10,2023-11-24,PAR1,WH-C,Pickup
144,10,2024-07-27,PAR1,WH-B,Express
145,10,2023-08-26,AMS1,WH-B,Standard
146,10,2024-07-08,BER1,WH-A,Standard
147,10,2023-05-03,AMS1,WH-B,Pickup
148,10,2024-05-26,AMS1,WH-C,Pickup
149,10,2024-08-18,AMS1,WH-B,Pickup
150,10,2024-10-21,BER1,WH-A,Pickup
151,10,2023-02-19,PAR1,WH-C,Pickup
152,10,2024-05-11,AMS1,WH-A,Pickup
153,10,2023-04-15,PAR1,WH-A,Standard
154,10,2024-12-02,AMS1,WH-C,Express
155,10,2024-08-03,AMS1,WH-A,Express
156,10,2024-08-30,PAR1,WH-A,Standard
157,10,2023-12-21,AMS1,WH-A,Pickup
158,10,2024-07-24,PAR1,WH-A,Express
159,10,2024-02-04,AMS1,WH-C,Pickup
160,10,2024-06-10,BER1,WH-C,Pickup
161,10,2023-09-06,AMS1,WH-B,Pickup
162,10,2024-01-12,AMS1,WH-B,Standard
163,10,2023-12-13,AMS1,WH-C,Express
164,10,2023-12-08,AMS1,WH-B,Standard
165,10,2023-03-14,AMS1,WH-C,Pickup
166,10,2024-07-05,PAR1,WH-C,Express
167,10,2023-12-10,PAR1,WH-C,Express
168,10,2023-12-25,PAR1,WH-B,Standard
169,10,2024-05-03,BER1,WH-C,Express
170,10,2024-06-18,BER1,WH-C,Standard
171,10,2023-07-24,AMS1,WH-A,Pickup
172,10,2024-11-21,PAR1,WH-B,Express
173,10,2024-08-27,PAR1,WH-A,Pickup
174,10,2024-01-30,PAR1,WH-A,Pickup
175,10,2023-01-14,BER1,WH-B,Express
176,10,2023-10-15,BER1,WH-C,Standard
177,10,2024-07-15,BER1,WH-A,Express
178,10,2024-08-26,AMS1,WH-C,Pickup
179,10,2023-10-27,PAR1,WH-B,Express
180,10,2023-05-29,PAR1,WH-A,Express
181,10,2024-04-15,PAR1,WH-B,Pickup
182,10,2024-11-30,BER1,WH-C,Express
183,10,2024-11-03,PAR1,WH-A,Standard
184,10,2024-11-03,BER1,WH-B,Express
185,10,2023-05-18,BER1,WH-C,Pickup
186,10,2023-05-27,BER1,WH-C,Pickup
187,10,2024-01-30,AMS1,WH-A,Pickup
188,10,2024-09-13,PAR1,WH-A,Pickup
189,10,2023-11-23,AMS1,WH-C,Express
190,10,2024-10-09,PAR1,WH-B,Express
191,10,2024-08-24,AMS1,WH-C,Express
192,10,2024-11-04,AMS1,WH-A,Pickup
193,10,2023-05-13,AMS1,WH-C,Express
194,10,2024-01-18,BER1,WH-A,Standard
195,10,2024-07-28,BER1,WH-A,Standard
196,10,2023-02-19,AMS1,WH-C,Pickup
197,10,2023-09-08,PAR1,WH-A,Pickup
198,10,2023-01-06,PAR1,WH-B,Express
199,10,2024-01-19,AMS1,WH-B,Pickup
200,10,2023-12-02,AMS1,WH-A,Pickup
201,10,2024-01-02,AMS1,WH-A,Pickup
202,10,2025-01-04,BER1,WH-A,Standard
203,10,2023-04-17,PAR1,WH-C,Express
204,10,2023-03-19,AMS1,WH-C,Express
205,10,2024-05-24,PAR1,WH-A,Express
206,10,2023-11-01,BER1,WH-C,Pickup
207,10,2023-01-22,BER1,WH-B,Pickup
208,10,2024-05-05,BER1,WH-A,Standard
209,10,2024-09-05,BER1,WH-A,Standard
210,10,2024-09-14,AMS1,WH-A,Standard
211,10,2023-06-07,AMS1,WH-C,Standard
212,10,2024-10-29,PAR1,WH-B,Express
213,10,2023-02-03,PAR1,WH-A,Pickup
214,10,2024-11-18,AMS1,WH-C,Pickup
215,10,2023-06-24,AMS1,WH-A,Express
216,10,2023-09-26,BER1,WH-B,Express
217,10,2023-06-20,BER1,WH-B,Pickup
218,10,2024-07-18,PAR1,WH-B,Pickup
219,10,2024-05-04,BER1,WH-B,Standard
220,10,2024-04-24,BER1,WH-C,Express
221,10,2024-02-09,BER1,WH-A,Standard
222,10,2023-02-21,AMS1,WH-B,Standard
223,10,2024-04-14,AMS1,WH-B,Pickup
224,10,2024-05-14,AMS1,WH-B,Pickup
225,10,2023-01-24,AMS1,WH-C,Express
226,10,2024-09-12,BER1,WH-C,Express
227,10,2023-01-30,AMS1,WH-C,Pickup
228,10,2024-10-13,AMS1,WH-C,Express
229,10,2023-04-04,PAR1,WH-A,Pickup
230,10,2023-01-12,AMS1,WH-A,Pickup
231,10,2023-11-10,PAR1,WH-B,Express
232,10,2023-09-28,AMS1,WH-B,Express
233,10,2024-02-03,AMS1,WH-A,Express
234,10,2023-05-15,AMS1,WH-B,Express
235,10,2024-05-01,AMS1,WH-C,Standard
236,10,2023-05-30,BER1,WH-C,Express
237,10,2024-05-21,AMS1,WH-A,Standard
238,10,2024-06-29,BER1,WH-A,Express
239,10,2023-11-09,PAR1,WH-A,Standard
240,10,2023-01-29,BER1,WH-C,Standard
241,10,2024-03-10,PAR1,WH-B,Standard
242,10,2024-09-12,PAR1,WH-A,Pickup
243,10,2024-12-25,PAR1,WH-C,Express
244,10,2023-06-03,BER1,WH-B,Express
245,10,2024-11-27,PAR1,WH-A,Express
246,10,2023-12-19,PAR1,WH-A,Express
247,10,2023-04-25,BER1,WH-A,Standard
248,10,2024-11-04,AMS1,WH-A,Express
249,10,2024-09-19,BER1,WH-C,Pickup
250,10,2024-07-25,PAR1,WH-C,Standard
251,10,2023-04-24,BER1,WH-B,Standard
252,10,2024-07-31,PAR1,WH-A,Express
253,10,2023-06-26,BER1,WH-C,Standard
254,10,2023-04-25,PAR1,WH-B,Express
255,10,2023-07-01,AMS1,WH-A,Pickup
256,10,2024-03-05,PAR1,WH-C,Standard
257,10,2024-10-15,BER1,WH-A,Pickup
258,10,2023-02-27,BER1,WH-C,Pickup
259,10,2024-07-29,BER1,WH-C,Pickup
260,10,2023-07-31,PAR1,WH-C,Express
261,10,2024-01-27,BER1,WH-A,Standard
262,10,2024-09-04,AMS1,WH-C,Express
263,10,2024-02-18,PAR1,WH-A,Pickup
264,10,2024-11-22,BER1,WH-C,Standard
265,10,2024-06-14,BER1,WH-C,Express
266,10,2023-08-09,BER1,WH-A,Pickup
267,10,2024-07-26,BER1,WH-C,Express
268,10,2024-09-25,BER1,WH-B,Pickup
269,10,2024-07-06,BER1,WH-C,Standard
270,10,2024-02-08,BER1,WH-A,Pickup
271,10,2024-11-23,BER1,WH-A,Standard
272,10,2024-09-27,BER1,WH-A,Express
273,10,2024-10-20,PAR1,WH-C,Pickup
274,10,2023-10-21,AMS1,WH-C,Standard
275,10,2024-04-28,PAR1,WH-C,Pickup
276,10,2024-06-16,BER1,WH-A,Standard
277,10,2023-08-01,BER1,WH-B,Pickup
278,10,2024-01-24,PAR1,WH-A,Pickup
279,10,2023-06-21,PAR1,WH-A,Express
280,10,2024-11-26,PAR1,WH-C,Express
281,10,2024-08-15,AMS1,WH-A,Standard
282,10,2024-03-02,PAR1,WH-C,Standard
283,10,2024-03-05,BER1,WH-C,Pickup
284,10,2024-03-19,PAR1,WH-C,Pickup
285,10,2024-03-17,PAR1,WH-C,Standard
286,10,2024-06-21,PAR1,WH-B,Standard
287,10,2024-01-11,AMS1,WH-C,Pickup
288,10,2024-11-11,BER1,WH-A,Standard
289,10,2024-10-14,AMS1,WH-B,Express
290,10,2024-11-03,PAR1,WH-C,Pickup
291,10,2024-09-27,BER1,WH-C,Standard
292,10,2024-12-26,BER1,WH-B,Standard
293,10,2023-04-20,AMS1,WH-B,Pickup
294,10,2024-04-16,PAR1,WH-B,Pickup
295,10,2023-10-27,PAR1,WH-A,Standard
296,10,2023-07-26,PAR1,WH-B,Express
297,10,2023-01-07,PAR1,WH-A,Pickup
298,10,2024-06-30,BER1,WH-A,Standard
299,10,2023-08-06,AMS1,WH-B,Pickup
300,10,2024-03-12,AMS1,WH-B,Standard
301,10,2023-06-05,BER1,WH-B,Standard
302,10,2024-12-14,AMS1,WH-B,Standard
303,10,2024-03-02,PAR1,WH-B,Standard
304,10,2024-10-10,PAR1,WH-B,Express
305,10,2024-10-24,PAR1,WH-C,Pickup
306,10,2023-03-23,BER1,WH-B,Pickup
307,10,2023-06-09,AMS1,WH-B,Pickup
308,10,2024-04-26,BER1,WH-B,Express
309,10,2024-01-14,AMS1,WH-B,Express
310,10,2024-03-23,AMS1,WH-B,Standard
311,10,2023-10-02,PAR1,WH-B,Standard
312,10,2024-04-09,AMS1,WH-C,Pickup
313,10,2023-09-01,AMS1,WH-A,Standard
314,10,2023-03-06,BER1,WH-B,Standard
315,10,2023-09-12,PAR1,WH-C,Express
316,10,2024-07-21,BER1,WH-A,Standard
317,10,2024-08-22,PAR1,WH-C,Express
318,10,2024-10-03,PAR1,WH-B,Express
319,10,2023-07-18,BER1,WH-C,Express
320,10,2024-07-17,PAR1,WH-C,Standard
321,10,2023-07-10,AMS1,WH-C,Express
322,10,2023-04-25,AMS1,WH-C,Express
323,10,2024-06-25,PAR1,WH-B,Express
324,10,2024-12-27,BER1,WH-A,Express
325,10,2024-11-03,AMS1,WH-C,Pickup
326,10,2024-11-06,AMS1,WH-C,Express
327,10,2023-09-19,BER1,WH-B,Pickup
328,10,2024-12-14,AMS1,WH-A,Standard
329,10,2024-02-14,BER1,WH-B,Pickup
330,10,2024-03-24,PAR1,WH-C,Express
331,10,2023-06-11,PAR1,WH-C,Standard
332,10,2024-07-23,PAR1,WH-C,Standard
333,10,2024-06-20,AMS1,WH-C,Pickup
334,10,2023-01-26,PAR1,WH-A,Pickup
335,10,2023-03-03,BER1,WH-A,Standard
336,10,2024-06-20,PAR1,WH-B,Pickup
337,10,2024-04-26,PAR1,WH-C,Standard
338,10,2023-11-28,PAR1,WH-A,Standard
339,10,2023-12-29,AMS1,WH-C,Standard
340,10,2023-04-08,PAR1,WH-C,Standard
341,10,2023-07-27,BER1,WH-B,Pickup
342,10,2023-02-07,PAR1,WH-B,Standard
343,10,2024-08-03,AMS1,WH-A,Pickup
344,10,2024-05-22,BER1,WH-A,Express
345,10,2024-04-02,PAR1,WH-C,Standard
346,10,2024-10-18,AMS1,WH-B,Pickup
347,10,2023-11-11,BER1,WH-A,Express
348,10,2024-12-13,PAR1,WH-C,Pickup
349,10,2023-05-12,AMS1,WH-C,Standard
350,10,2023-06-03,BER1,WH-A,Pickup
351,10,2023-09-17,AMS1,WH-A,Pickup
352,10,2024-09-06,BER1,WH-C,Pickup
353,10,2024-09-10,PAR1,WH-C,Pickup
354,10,2024-04-18,BER1,WH-C,Standard
355,10,2023-12-08,PAR1,WH-C,Express
356,10,2023-12-29,BER1,WH-C,Pickup
357,10,2024-09-30,AMS1,WH-B,Standard
358,10,2024-07-18,AMS1,WH-B,Pickup
359,10,2024-10-29,PAR1,WH-C,Standard
360,10,2023-11-20,PAR1,WH-C,Pickup
361,10,2023-07-12,BER1,WH-C,Express
362,10,2023-06-30,PAR1,WH-B,Express
363,10,2023-05-28,BER1,WH-B,Express
364,10,2023-02-18,AMS1,WH-C,Express
365,10,2023-10-13,AMS1,WH-C,Standard
366,10,2023-06-30,BER1,WH-B,Standard
367,10,2023-07-07,AMS1,WH-C,Express
368,10,2024-12-30,AMS1,WH-B,Pickup
369,10,2023-02-01,AMS1,WH-C,Express
370,10,2023-12-05,PAR1,WH-C,Standard
371,10,2024-03-24,BER1,WH-B,Express
372,10,2023-03-14,AMS1,WH-B,Express
373,10,2024-08-16,AMS1,WH-A,Pickup
374,10,2023-03-08,AMS1,WH-C,Express
375,10,2024-02-24,PAR1,WH-A,Express
376,10,2023-01-17,PAR1,WH-C,Standard
377,10,2024-10-02,PAR1,WH-A,Express
378,10,2024-05-29,BER1,WH-C,Pickup
379,10,2024-06-24,BER1,WH-B,Pickup
380,10,2024-06-12,AMS1,WH-C,Express
381,10,2024-08-14,AMS1,WH-A,Standard
382,10,2023-04-25,BER1,WH-C,Pickup
383,10,2024-05-30,BER1,WH-A,Standard
384,10,2024-02-17,AMS1,WH-B,Express
385,10,2024-11-28,AMS1,WH-B,Express
386,10,2023-09-05,AMS1,WH-A,Pickup
387,10,2023-10-19,PAR1,WH-C,Pickup
388,10,2023-04-30,BER1,WH-B,Standard
389,10,2023-12-08,PAR1,WH-B,Express
390,10,2024-09-25,BER1,WH-A,Standard
391,10,2024-02-05,BER1,WH-C,Pickup
392,10,2023-01-12,AMS1,WH-A,Standard
393,10,2023-10-26,PAR1,WH-A,Express
394,10,2023-02-12,PAR1,WH-A,Standard
395,10,2023-05-04,BER1,WH-A,Express
396,10,2024-10-26,BER1,WH-B,Pickup
397,10,2024-09-22,BER1,WH-B,Pickup
398,10,2023-05-11,PAR1,WH-C,Standard
399,10,2023-06-12,BER1,WH-C,Express
400,10,2024-06-23,PAR1,WH-A,Express
401,10,2023-05-06,AMS1,WH-A,Standard
402,10,2024-11-22,BER1,WH-A,Standard
403,10,2024-05-16,BER1,WH-B,Standard
404,10,2023-04-17,AMS1,WH-A,Standard
405,10,2024-01-20,BER1,WH-A,Express
406,10,2024-04-18,BER1,WH-C,Express
407,10,2024-04-21,AMS1,WH-A,Express
408,10,2024-05-01,BER1,WH-A,Standard
409,10,2023-11-01,BER1,WH-B,Express
410,10,2024-04-20,PAR1,WH-A,Pickup
411,10,2023-03-25,PAR1,WH-A,Pickup
412,10,2024-12-27,AMS1,WH-A,Pickup
413,10,2024-01-24,BER1,WH-B,Standard
414,10,2023-04-01,PAR1,WH-A,Standard
415,10,2024-03-04,PAR1,WH-B,Express
416,10,2024-08-18,AMS1,WH-A,Express
417,10,2024-01-04,BER1,WH-A,Standard
418,10,2023-05-05,AMS1,WH-B,Standard
419,10,2023-06-17,AMS1,WH-C,Pickup
420,10,2023-11-01,BER1,WH-B,Pickup
421,10,2023-08-16,AMS1,WH-C,Pickup
422,10,2023-04-02,AMS1,WH-B,Pickup
423,10,2024-04-02,PAR1,WH-A,Express
424,10,2023-08-08,PAR1,WH-A,Standard
425,10,2023-07-18,AMS1,WH-B,Standard
426,10,2024-10-15,PAR1,WH-C,Pickup
427,10,2024-08-22,AMS1,WH-C,Express
428,10,2024-01-07,BER1,WH-C,Standard
429,10,2023-04-13,AMS1,WH-B,Standard
430,10,2023-12-17,AMS1,WH-B,Express
431,10,2024-12-11,PAR1,WH-A,Express
432,10,2023-05-11,PAR1,WH-C,Express
433,10,2023-03-04,BER1,WH-C,Pickup
434,10,2023-01-31,BER1,WH-C,Express
435,10,2023-10-22,BER1,WH-C,Standard
436,10,2024-02-27,BER1,WH-B,Standard
437,10,2023-05-03,AMS1,WH-C,Express
438,10,2023-07-04,PAR1,WH-A,Express
439,10,2024-01-14,AMS1,WH-C,Standard
440,10,2024-01-04,BER1,WH-A,Express
441,10,2023-03-01,PAR1,WH-C,Standard
442,10,2024-04-24,AMS1,WH-B,Express
443,10,2023-02-07,PAR1,WH-C,Express
444,10,2024-11-10,AMS1,WH-A,Express
445,10,2024-09-01,PAR1,WH-A,Standard
446,10,2023-09-05,PAR1,WH-C,Standard
447,10,2023-10-02,AMS1,WH-B,Express
448,10,2024-11-15,AMS1,WH-A,Pickup
449,10,2023-04-05,AMS1,WH-C,Pickup
450,10,2023-11-17,PAR1,WH-B,Pickup
451,10,2024-10-19,BER1,WH-C,Express
452,10,2024-03-05,AMS1,WH-B,Standard
453,10,2024-07-31,BER1,WH-C,Express
454,10,2023-01-22,BER1,WH-C,Express
455,10,2024-05-27,PAR1,WH-A,Pickup
456,10,2023-08-14,AMS1,WH-C,Express
457,10,2024-05-03,PAR1,WH-C,Express
458,10,2023-09-25,AMS1,WH-A,Standard
459,10,2023-11-07,AMS1,WH-C,Standard
460,10,2023-04-15,AMS1,WH-C,Express
461,10,2023-01-12,AMS1,WH-B,Standard
462,10,2023-05-18,BER1,WH-A,Pickup
463,10,2024-07-31,BER1,WH-C,Standard
464,10,2023-01-23,BER1,WH-C,Standard
465,10,2023-10-23,PAR1,WH-C,Standard
466,10,2024-04-14,PAR1,WH-A,Pickup
467,10,2023-12-13,BER1,WH-C,Standard
468,10,2023-09-30,AMS1,WH-B,Standard
469,10,2024-01-07,BER1,WH-C,Pickup
470,10,2024-10-15,BER1,WH-B,Pickup
471,10,2024-04-04,PAR1,WH-C,Standard
472,10,2024-08-01,BER1,WH-B,Express
473,10,2024-08-28,PAR1,WH-C,Express
474,10,2023-12-01,AMS1,WH-A,Express
475,10,2023-08-08,BER1,WH-B,Standard
476,10,2023-04-10,PAR1,WH-B,Pickup
477,10,2023-02-18,AMS1,WH-A,Standard
478,10,2024-12-08,PAR1,WH-C,Standard
479,10,2023-09-18,AMS1,WH-B,Pickup
480,10,2024-04-12,BER1,WH-A,Pickup
481,10,2024-11-10,BER1,WH-A,Standard
482,10,2023-07-12,BER1,WH-A,Pickup
483,10,2023-06-14,BER1,WH-C,Standard
484,10,2024-03-20,PAR1,WH-B,Pickup
485,10,2023-03-08,AMS1,WH-B,Pickup
486,10,2023-08-28,PAR1,WH-A,Express
487,10,2024-05-09,AMS1,WH-B,Pickup
488,10,2024-11-26,AMS1,WH-A,Express
489,10,2023-10-01,BER1,WH-B,Pickup
490,10,2023-11-04,BER1,WH-B,Standard
491,10,2023-10-23,AMS1,WH-B,Express
492,10,2024-11-30,AMS1,WH-A,Pickup
493,10,2023-02-09,BER1,WH-C,Express
494,10,2024-04-03,PAR1,WH-A,Express
495,10,2024-07-08,AMS1,WH-C,Pickup
496,10,2024-06-02,AMS1,WH-A,Express
497,10,2024-08-18,AMS1,WH-B,Pickup
498,10,2023-06-08,AMS1,WH-C,Standard
499,10,2024-06-17,AMS1,WH-A,Pickup
500,10,2024-06-09,BER1,WH-C,Pickup
501,10,2023-05-08,AMS1,WH-A,Standard
502,10,2024-05-20,PAR1,WH-A,Standard
503,10,2024-06-08,AMS1,WH-C,Standard
504,10,2024-10-24,PAR1,WH-C,Express
505,10,2024-05-07,BER1,WH-B,Standard
506,10,2023-12-23,BER1,WH-B,Standard
507,10,2023-06-14,AMS1,WH-B,Standard
508,10,2023-05-05,BER1,WH-B,Express
509,10,2024-02-28,BER1,WH-A,Standard
510,10,2024-07-09,AMS1,WH-C,Express
511,10,2024-12-01,BER1,WH-C,Express
512,10,2023-10-16,PAR1,WH-B,Pickup
513,10,2024-12-15,PAR1,WH-A,Standard
514,10,2023-02-03,BER1,WH-A,Pickup
515,10,2023-01-22,PAR1,WH-C,Pickup
516,10,2023-01-14,AMS1,WH-C,Standard
517,10,2024-06-26,AMS1,WH-B,Standard
518,10,2023-10-09,BER1,WH-B,Express
519,10,2024-08-13,AMS1,WH-B,Standard
520,10,2024-09-05,PAR1,WH-C,Standard
521,10,2023-04-12,PAR1,WH-B,Express
522,10,2023-04-20,PAR1,WH-C,Standard
523,10,2023-12-19,PAR1,WH-C,Standard
524,10,2024-01-03,AMS1,WH-B,Express
525,10,2024-07-08,PAR1,WH-A,Pickup
526,10,2023-12-21,AMS1,WH-B,Express
527,10,2023-06-17,AMS1,WH-C,Express
528,10,2023-08-03,PAR1,WH-B,Express
529,10,2023-02-06,AMS1,WH-A,Standard
530,10,2024-11-30,PAR1,WH-B,Standard
531,10,2023-03-08,BER1,WH-C,Pickup
532,10,2023-07-14,PAR1,WH-C,Pickup
533,10,2023-06-29,AMS1,WH-C,Standard
534,10,2024-10-27,AMS1,WH-B,Pickup
535,10,2023-03-28,AMS1,WH-B,Pickup
536,10,2023-10-11,BER1,WH-B,Express
537,10,2023-04-16,AMS1,WH-A,Standard
538,10,2024-09-10,BER1,WH-B,Pickup
539,10,2023-08-27,AMS1,WH-A,Standard
540,10,2024-04-06,AMS1,WH-C,Express
541,10,2023-11-04,AMS1,WH-A,Pickup
542,10,2024-08-10,AMS1,WH-A,Express
543,10,2023-10-31,AMS1,WH-C,Standard
544,10,2024-02-09,BER1,WH-A,Standard
545,10,2024-04-06,PAR1,WH-B,Standard
546,10,2024-12-21,AMS1,WH-C,Express
547,10,2023-09-09,AMS1,WH-B,Standard
548,10,2023-06-21,BER1,WH-A,Express
549,10,2023-04-30,BER1,WH-A,Express
550,10,2024-09-18,PAR1,WH-A,Standard
551,10,2024-06-29,BER1,WH-A,Pickup
552,10,2023-09-04,PAR1,WH-A,Express
553,10,2023-06-21,AMS1,WH-B,Pickup
554,10,2023-01-24,BER1,WH-B,Standard
555,10,2024-09-09,AMS1,WH-C,Express
556,10,2023-03-14,AMS1,WH-A,Express
557,10,2023-03-23,PAR1,WH-B,Pickup
558,10,2023-12-03,BER1,WH-C,Pickup
559,10,2024-11-17,PAR1,WH-A,Standard
560,10,2023-05-14,PAR1,WH-A,Standard
561,10,2023-10-24,PAR1,WH-B,Express
562,10,2024-05-13,AMS1,WH-C,Standard
563,10,2024-05-07,AMS1,WH-B,Pickup
